UniProt_ID	KEGG_Pathways	EC_Number	BRENDA_EC	Recommended_Name	Organism	KEGG_ID
29547|Epsilonproteobacteria	1.17.1.9	-	-	C	COG0243@1|root,COG3383@1|root,COG0243@2|Bacteria,COG3383@2|Bacteria,1MW3N@1224|Proteobacteria,43BJY@68525|delta/epsilon subdivisions,2YTAH@29547|Epsilonproteobacteria	1.17.1.9
29547|Epsilonproteobacteria	3.6.3.14	-	-	F	COG0055@1|root,COG0055@2|Bacteria,1MUFU@1224|Proteobacteria,42KZA@68525|delta/epsilon subdivisions,2YMA9@29547|Epsilonproteobacteria	3.6.3.14
29547|Epsilonproteobacteria	-	-	-	C	COG0355@1|root,COG0355@2|Bacteria,1RHE4@1224|Proteobacteria,42TII@68525|delta/epsilon subdivisions,2YPWF@29547|Epsilonproteobacteria	-
29547|Epsilonproteobacteria	-	-	-	U	COG0811@1|root,COG0811@2|Bacteria,1NCWW@1224|Proteobacteria,42PKF@68525|delta/epsilon subdivisions,2YNC3@29547|Epsilonproteobacteria	-
29547|Epsilonproteobacteria	-	-	-	U	COG0848@1|root,COG0848@2|Bacteria,1MZ6M@1224|Proteobacteria,42U00@68525|delta/epsilon subdivisions,2YS35@29547|Epsilonproteobacteria	-
1236|Gammaproteobacteria	-	-	-	EH	COG0175@1|root,COG0175@2|Bacteria,1QF53@1224|Proteobacteria,1RN3J@1236|Gammaproteobacteria	-
10239|Viruses	-	-	-	-	4QECI@10239|Viruses	-
2|Bacteria	-	-	-	-	2DUMH@1|root,33R9V@2|Bacteria	-
10239|Viruses	-	GO:0005575,GO:0019012	GO:0005575,GO:0019012	-	4QFQ8@10239|Viruses,4QVFB@35237|dsDNA viruses  no RNA stage	-
10662|Myoviridae	-	-	-	-	4QBG0@10239|Viruses,4QWYZ@35237|dsDNA viruses  no RNA stage,4QSGM@28883|Caudovirales,4QK1H@10662|Myoviridae	-
28883|Caudovirales	-	-	-	-	4QFW3@10239|Viruses,4R0GR@35237|dsDNA viruses  no RNA stage,4QS8R@28883|Caudovirales	-
1236|Gammaproteobacteria	-	-	-	L	COG3039@1|root,COG3039@2|Bacteria,1MUVI@1224|Proteobacteria,1RQVT@1236|Gammaproteobacteria	-
10744|Podoviridae	-	-	-	S	4QAZF@10239|Viruses,4QPH6@28883|Caudovirales,4QNEM@10744|Podoviridae	-
1236|Gammaproteobacteria	-	-	-	L	COG0827@1|root,COG0827@2|Bacteria,1MUZW@1224|Proteobacteria,1RSAY@1236|Gammaproteobacteria,41DR0@629|Yersinia	-
135619|Oceanospirillales	-	-	-	S	29X5P@1|root,30IUP@2|Bacteria,1QRAP@1224|Proteobacteria,1RU85@1236|Gammaproteobacteria,1XQKM@135619|Oceanospirillales	-
1236|Gammaproteobacteria	3.6.4.12	-	-	L	COG0305@1|root,COG0305@2|Bacteria,1MUG9@1224|Proteobacteria,1RYUJ@1236|Gammaproteobacteria,3Z39N@583|Proteus	3.6.4.12
1236|Gammaproteobacteria	-	GO:0000217,GO:0000405,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0097159,GO:1901363	GO:0000217,GO:0000405,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0097159,GO:1901363	S	2999H@1|root,2ZWCQ@2|Bacteria,1REYJ@1224|Proteobacteria,1S4XF@1236|Gammaproteobacteria	-
1236|Gammaproteobacteria	-	-	-	S	2D7I9@1|root,32UHG@2|Bacteria,1N3YY@1224|Proteobacteria,1SBD8@1236|Gammaproteobacteria	-
28883|Caudovirales	-	-	-	S	4QB0C@10239|Viruses,4QW7S@35237|dsDNA viruses  no RNA stage,4QPK3@28883|Caudovirales	-
1236|Gammaproteobacteria	-	-	-	EH	COG0175@1|root,COG0175@2|Bacteria,1PZ96@1224|Proteobacteria,1SBUC@1236|Gammaproteobacteria	-
1224|Proteobacteria	-	-	-	S	COG0790@1|root,COG0790@2|Bacteria,1QWUU@1224|Proteobacteria	-
2|Bacteria	-	-	-	-	2DN1F@1|root,32UYC@2|Bacteria	-
28216|Betaproteobacteria	-	-	-	-	2E5FX@1|root,3307M@2|Bacteria,1N8E5@1224|Proteobacteria,2VWUI@28216|Betaproteobacteria,1KEY6@119060|Burkholderiaceae	-
10239|Viruses	-	-	-	S	4QFZG@10239|Viruses	-
10744|Podoviridae	-	-	-	S	4QCM6@10239|Viruses,4QVAQ@35237|dsDNA viruses  no RNA stage,4QPVV@28883|Caudovirales,4QNID@10744|Podoviridae	-
10744|Podoviridae	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0009987,GO:0016032,GO:0016043,GO:0019012,GO:0019028,GO:0019030,GO:0019058,GO:0019068,GO:0019069,GO:0019075,GO:0022607,GO:0039620,GO:0042802,GO:0042803,GO:0044085,GO:0044403,GO:0044419,GO:0044423,GO:0046729,GO:0046797,GO:0046983,GO:0051704,GO:0071840	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0009987,GO:0016032,GO:0016043,GO:0019012,GO:0019028,GO:0019030,GO:0019058,GO:0019068,GO:0019069,GO:0019075,GO:0022607,GO:0039620,GO:0042802,GO:0042803,GO:0044085,GO:0044403,GO:0044419,GO:0044423,GO:0046729,GO:0046797,GO:0046983,GO:0051704,GO:0071840	S	4QBD3@10239|Viruses,4QQ7Z@28883|Caudovirales,4QNJ0@10744|Podoviridae	-
10744|Podoviridae	-	-	-	S	4QBFN@10239|Viruses,4QXWN@35237|dsDNA viruses  no RNA stage,4QPTW@28883|Caudovirales,4QNPZ@10744|Podoviridae	-
2|Bacteria	-	-	-	L	COG1917@1|root,COG1917@2|Bacteria	-
28216|Betaproteobacteria	-	-	-	S	COG4424@1|root,COG4424@2|Bacteria,1PWCS@1224|Proteobacteria,2WBXJ@28216|Betaproteobacteria,1KCXE@119060|Burkholderiaceae	-
1236|Gammaproteobacteria	-	-	-	-	28J4H@1|root,2Z90E@2|Bacteria,1MWA7@1224|Proteobacteria,1RRP2@1236|Gammaproteobacteria,3XQMS@561|Escherichia	-
1236|Gammaproteobacteria	-	-	-	-	2AU2J@1|root,31JNW@2|Bacteria,1QHFK@1224|Proteobacteria,1TF44@1236|Gammaproteobacteria,1ZA21@136849|Pseudomonas syringae group	-
1236|Gammaproteobacteria	-	-	-	-	2DPZ4@1|root,32UN5@2|Bacteria,1RFK5@1224|Proteobacteria,1S5EH@1236|Gammaproteobacteria	-
10744|Podoviridae	-	-	-	S	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBS@10744|Podoviridae	-
28883|Caudovirales	-	GO:0005575,GO:0019012,GO:0019028,GO:0019030,GO:0039617,GO:0044423,GO:0046729	GO:0005575,GO:0019012,GO:0019028,GO:0019030,GO:0039617,GO:0044423,GO:0046729	S	4QAK6@10239|Viruses,4QPBY@28883|Caudovirales	-
28883|Caudovirales	-	-	-	S	4QB6G@10239|Viruses,4QVYX@35237|dsDNA viruses  no RNA stage,4QQS8@28883|Caudovirales	-
1236|Gammaproteobacteria	-	GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006298,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008047,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0030234,GO:0031668,GO:0033554,GO:0034641,GO:0034645,GO:0042802,GO:0043085,GO:0043170,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050790,GO:0050896,GO:0051716,GO:0065007,GO:0065009,GO:0071496,GO:0071704,GO:0090304,GO:0097159,GO:0098772,GO:1901360,GO:1901363,GO:1901576	GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006298,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008047,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0030234,GO:0031668,GO:0033554,GO:0034641,GO:0034645,GO:0042802,GO:0043085,GO:0043170,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050790,GO:0050896,GO:0051716,GO:0065007,GO:0065009,GO:0071496,GO:0071704,GO:0090304,GO:0097159,GO:0098772,GO:1901360,GO:1901363,GO:1901576	L	COG0629@1|root,COG0629@2|Bacteria,1RCWT@1224|Proteobacteria,1S3WP@1236|Gammaproteobacteria,2PZNQ@267888|Pseudoalteromonadaceae	-
10662|Myoviridae	-	-	-	S	4QCB0@10239|Viruses,4QX81@35237|dsDNA viruses  no RNA stage,4QPFH@28883|Caudovirales,4QI0G@10662|Myoviridae	-
2|Bacteria	-	-	-	L	COG3723@1|root,COG3723@2|Bacteria	-
10699|Siphoviridae	-	-	-	S	4QE7X@10239|Viruses,4QVF0@35237|dsDNA viruses  no RNA stage,4QPUM@28883|Caudovirales,4QN8I@10699|Siphoviridae	-
28216|Betaproteobacteria	3.1.26.4	-	-	L	COG0328@1|root,COG0328@2|Bacteria,1RCZ1@1224|Proteobacteria,2VR4W@28216|Betaproteobacteria,1KQ26@119066|unclassified Betaproteobacteria	3.1.26.4
10662|Myoviridae	-	-	-	S	4QARC@10239|Viruses,4QV4E@35237|dsDNA viruses  no RNA stage,4QPDS@28883|Caudovirales,4QIV1@10662|Myoviridae	-
29547|Epsilonproteobacteria	-	-	-	-	2DI3R@1|root,301Y2@2|Bacteria,1PU5N@1224|Proteobacteria,42ZHI@68525|delta/epsilon subdivisions,2YRPK@29547|Epsilonproteobacteria	-
10662|Myoviridae	-	-	-	-	4QBB8@10239|Viruses,4R0DX@35237|dsDNA viruses  no RNA stage,4QQZ7@28883|Caudovirales,4QKKE@10662|Myoviridae	-
10662|Myoviridae	-	-	-	-	4QC6N@10239|Viruses,4QPEG@28883|Caudovirales,4QI30@10662|Myoviridae	-
10662|Myoviridae	-	-	-	-	4QDMU@10239|Viruses,4QY7Z@35237|dsDNA viruses  no RNA stage,4QTBU@28883|Caudovirales,4QJX4@10662|Myoviridae	-
91061|Bacilli	-	-	-	L	COG0272@1|root,COG0272@2|Bacteria,1W58W@1239|Firmicutes,4I18Q@91061|Bacilli	-
28216|Betaproteobacteria	-	-	-	CO	COG0526@1|root,COG0526@2|Bacteria,1RI3N@1224|Proteobacteria,2VR8D@28216|Betaproteobacteria,4PQXI@995019|Sutterellaceae	-
10699|Siphoviridae	-	GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576	GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576	S	4QAKM@10239|Viruses,4QUU7@35237|dsDNA viruses  no RNA stage,4QPEF@28883|Caudovirales,4QKNE@10699|Siphoviridae	-
976|Bacteroidetes	-	-	-	S	COG2129@1|root,COG2129@2|Bacteria,4NNRJ@976|Bacteroidetes,1I2D7@117743|Flavobacteriia	-
1224|Proteobacteria	-	-	-	S	COG2110@1|root,COG2110@2|Bacteria,1MVYN@1224|Proteobacteria,42QA6@68525|delta/epsilon subdivisions	-
28211|Alphaproteobacteria	3.6.4.12	-	-	L	COG0305@1|root,COG0358@1|root,COG0305@2|Bacteria,COG0358@2|Bacteria,1QT52@1224|Proteobacteria,2TVNI@28211|Alphaproteobacteria,4BIA7@82115|Rhizobiaceae	3.6.4.12
29547|Epsilonproteobacteria	2.7.6.1	-	-	F	COG0462@1|root,COG0462@2|Bacteria,1MW21@1224|Proteobacteria,42MI2@68525|delta/epsilon subdivisions,2YMPY@29547|Epsilonproteobacteria	2.7.6.1
29547|Epsilonproteobacteria	-	-	-	M	COG2885@1|root,COG3637@1|root,COG2885@2|Bacteria,COG3637@2|Bacteria,1RCNJ@1224|Proteobacteria,43AF2@68525|delta/epsilon subdivisions,2YT2D@29547|Epsilonproteobacteria	-
10239|Viruses	-	-	-	S	4QAYV@10239|Viruses	-
10239|Viruses	-	GO:0005575,GO:0019012,GO:0019028,GO:0044423,GO:0046729	GO:0005575,GO:0019012,GO:0019028,GO:0044423,GO:0046729	S	4QC5Z@10239|Viruses,4QUNP@35237|dsDNA viruses  no RNA stage	-
28211|Alphaproteobacteria	-	-	-	S	2AD08@1|root,312N7@2|Bacteria,1Q8SH@1224|Proteobacteria,2UY5D@28211|Alphaproteobacteria,4BT40@82117|unclassified Alphaproteobacteria	-
10744|Podoviridae	-	-	-	S	4QG29@10239|Viruses,4QZGF@35237|dsDNA viruses  no RNA stage,4QT35@28883|Caudovirales,4QNCJ@10744|Podoviridae	-
28883|Caudovirales	-	-	-	S	4QAIJ@10239|Viruses,4QVZ9@35237|dsDNA viruses  no RNA stage,4QPXI@28883|Caudovirales	-
10699|Siphoviridae	-	-	-	S	4QD6Y@10239|Viruses,4QWG5@35237|dsDNA viruses  no RNA stage,4QPFN@28883|Caudovirales,4QKM9@10699|Siphoviridae	-
10699|Siphoviridae	-	-	-	S	4QB4I@10239|Viruses,4QVFV@35237|dsDNA viruses  no RNA stage,4QPKN@28883|Caudovirales,4QM6F@10699|Siphoviridae	-
10662|Myoviridae	-	-	-	S	4QPDE@28883|Caudovirales,4QI6J@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QPDE@28883|Caudovirales,4QI6J@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QCHF@10239|Viruses,4QW57@35237|dsDNA viruses  no RNA stage,4QPIH@28883|Caudovirales,4QHVS@10662|Myoviridae	-
1236|Gammaproteobacteria	-	-	-	-	2DDKV@1|root,32U1R@2|Bacteria,1N5SP@1224|Proteobacteria,1SAQN@1236|Gammaproteobacteria	-
1236|Gammaproteobacteria	6.5.1.1,6.5.1.6,6.5.1.7	-	-	L	COG1793@1|root,COG1793@2|Bacteria,1NP4A@1224|Proteobacteria,1STVK@1236|Gammaproteobacteria	6.5.1.1,6.5.1.6,6.5.1.7
10662|Myoviridae	-	-	-	-	4QH0Y@10239|Viruses,4QVVU@35237|dsDNA viruses  no RNA stage,4QSYB@28883|Caudovirales,4QKF4@10662|Myoviridae	-
1224|Proteobacteria	-	-	-	E	COG0683@1|root,COG0683@2|Bacteria,1MWUV@1224|Proteobacteria	-
10662|Myoviridae	-	-	-	-	4QDRV@10239|Viruses,4QXYH@35237|dsDNA viruses  no RNA stage,4QPYZ@28883|Caudovirales,4QKF8@10662|Myoviridae	-
10662|Myoviridae	-	-	-	-	4QGYI@10239|Viruses,4QTBY@28883|Caudovirales,4QJCB@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QAKE@10239|Viruses,4QUP7@35237|dsDNA viruses  no RNA stage,4QPCE@28883|Caudovirales,4QI56@10662|Myoviridae	-
28216|Betaproteobacteria	-	-	-	L	COG2887@1|root,COG2887@2|Bacteria,1QEBA@1224|Proteobacteria,2VV1M@28216|Betaproteobacteria	-
28216|Betaproteobacteria	-	-	-	-	2A8AR@1|root,30XC9@2|Bacteria,1PJ72@1224|Proteobacteria,2W7RW@28216|Betaproteobacteria,1KF1B@119060|Burkholderiaceae	-
1236|Gammaproteobacteria	-	-	-	S	28J2E@1|root,2Z8YX@2|Bacteria,1REPW@1224|Proteobacteria,1S4IX@1236|Gammaproteobacteria	-
206350|Nitrosomonadales	2.3.1.1,2.3.1.35	-	-	E	COG1364@1|root,COG1364@2|Bacteria,1MU0T@1224|Proteobacteria,2VJ84@28216|Betaproteobacteria,2KMBY@206350|Nitrosomonadales	2.3.1.1,2.3.1.35
976|Bacteroidetes	2.7.7.7	-	-	L	COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,4NDVA@976|Bacteroidetes,2FM8X@200643|Bacteroidia,4AKN4@815|Bacteroidaceae	2.7.7.7
10662|Myoviridae	-	-	-	S	4QANU@10239|Viruses,4QUR2@35237|dsDNA viruses  no RNA stage,4QQ0R@28883|Caudovirales,4QHYI@10662|Myoviridae	-
1117|Cyanobacteria	-	-	-	L	COG5421@1|root,COG5421@2|Bacteria,1G3YW@1117|Cyanobacteria	-
135613|Chromatiales	-	-	-	L	COG4974@1|root,COG4974@2|Bacteria,1MVNF@1224|Proteobacteria,1RPI8@1236|Gammaproteobacteria,1WW40@135613|Chromatiales	-
10699|Siphoviridae	-	-	-	S	4QAUT@10239|Viruses,4QQ7X@28883|Caudovirales,4QKVS@10699|Siphoviridae	-
10662|Myoviridae	-	-	-	S	4QEIG@10239|Viruses,4R0E7@35237|dsDNA viruses  no RNA stage,4QTGA@28883|Caudovirales,4QJNG@10662|Myoviridae	-
1236|Gammaproteobacteria	3.1.22.4	-	-	L	COG4570@1|root,COG4570@2|Bacteria,1N92D@1224|Proteobacteria,1S5SJ@1236|Gammaproteobacteria,403S6@613|Serratia	3.1.22.4
33208|Metazoa	-	-	-	-	2D8FH@1|root,2TA0Z@2759|Eukaryota,394V8@33154|Opisthokonta,3C9T0@33208|Metazoa,3DQXJ@33213|Bilateria,4273D@6656|Arthropoda,3SWWD@50557|Insecta,46KFN@7399|Hymenoptera	-
10662|Myoviridae	-	-	-	S	4QAKZ@10239|Viruses,4QUSW@35237|dsDNA viruses  no RNA stage,4QPYH@28883|Caudovirales,4QIYN@10662|Myoviridae	-
1239|Firmicutes	-	-	-	L	COG0742@1|root,COG0742@2|Bacteria,1UN8R@1239|Firmicutes	-
10662|Myoviridae	-	-	-	S	4QEE7@10239|Viruses,4QV59@35237|dsDNA viruses  no RNA stage,4QPT7@28883|Caudovirales,4QI2X@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QAWG@10239|Viruses,4QV6X@35237|dsDNA viruses  no RNA stage,4QPII@28883|Caudovirales,4QI76@10662|Myoviridae	-
976|Bacteroidetes	1.17.4.1	-	-	F	COG0208@1|root,COG0208@2|Bacteria,4NGDD@976|Bacteroidetes,1HY1Y@117743|Flavobacteriia,3IV9C@39782|Blattabacteriaceae	1.17.4.1
1236|Gammaproteobacteria	-	-	-	-	2EBVZ@1|root,335VC@2|Bacteria,1RHVC@1224|Proteobacteria,1SND1@1236|Gammaproteobacteria	-
28211|Alphaproteobacteria	-	-	-	-	2DS89@1|root,33EYT@2|Bacteria,1NGG2@1224|Proteobacteria,2UKCA@28211|Alphaproteobacteria	-
976|Bacteroidetes	-	-	-	S	COG1783@1|root,COG1783@2|Bacteria,4NSZ4@976|Bacteroidetes,47P61@768503|Cytophagia	-
10662|Myoviridae	-	-	-	-	4QFD0@10239|Viruses,4QYD1@35237|dsDNA viruses  no RNA stage,4QRF8@28883|Caudovirales,4QIWF@10662|Myoviridae	-
10239|Viruses	-	-	-	-	4QHFZ@10239|Viruses	-
10239|Viruses	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0018995,GO:0019012,GO:0019028,GO:0033643,GO:0042802,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044228,GO:0044423	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0018995,GO:0019012,GO:0019028,GO:0033643,GO:0042802,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044228,GO:0044423	S	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage	-
10239|Viruses	-	GO:0003674,GO:0003824,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0016787,GO:0019012,GO:0019538,GO:0043170,GO:0044238,GO:0071704,GO:0140096,GO:1901564	GO:0003674,GO:0003824,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0016787,GO:0019012,GO:0019538,GO:0043170,GO:0044238,GO:0071704,GO:0140096,GO:1901564	S	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage	-
91061|Bacilli	-	-	-	T	COG1702@1|root,COG1702@2|Bacteria,1TP35@1239|Firmicutes,4HBD5@91061|Bacilli,23IZW@182709|Oceanobacillus	-
976|Bacteroidetes	-	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009987,GO:0010033,GO:0035966,GO:0042221,GO:0043167,GO:0043169,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009987,GO:0010033,GO:0035966,GO:0042221,GO:0043167,GO:0043169,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077	O	COG0234@1|root,COG0234@2|Bacteria,4NS7D@976|Bacteroidetes,2FT5R@200643|Bacteroidia,1WDH6@1283313|Alloprevotella	-
28883|Caudovirales	-	-	-	-	4QB9T@10239|Viruses,4R0FI@35237|dsDNA viruses  no RNA stage,4QQR9@28883|Caudovirales	-
28211|Alphaproteobacteria	-	-	-	S	COG4372@1|root,COG4372@2|Bacteria,1MUCX@1224|Proteobacteria,2TR59@28211|Alphaproteobacteria,2PWP8@265|Paracoccus	-
28211|Alphaproteobacteria	-	-	-	L	COG3436@1|root,COG3436@2|Bacteria,1MZFT@1224|Proteobacteria,2U7MB@28211|Alphaproteobacteria,4BSAP@82117|unclassified Alphaproteobacteria	-
28211|Alphaproteobacteria	-	-	-	L	COG2963@1|root,COG2963@2|Bacteria,1N2IG@1224|Proteobacteria,2UCHX@28211|Alphaproteobacteria,2PXYQ@265|Paracoccus	-
10662|Myoviridae	-	-	-	S	4QAXQ@10239|Viruses,4QUSY@35237|dsDNA viruses  no RNA stage,4QRFY@28883|Caudovirales,4QI6A@10662|Myoviridae	-
10662|Myoviridae	-	-	-	S	4QC2G@10239|Viruses,4QV3V@35237|dsDNA viruses  no RNA stage,4QPRR@28883|Caudovirales,4QI1T@10662|Myoviridae	-
29547|Epsilonproteobacteria	-	-	-	J	COG0216@1|root,COG0216@2|Bacteria,1MV28@1224|Proteobacteria,42NA3@68525|delta/epsilon subdivisions,2YMD9@29547|Epsilonproteobacteria	-
10662|Myoviridae	-	-	-	S	4QB35@10239|Viruses,4QWU2@35237|dsDNA viruses  no RNA stage,4QPSY@28883|Caudovirales,4QHZ8@10662|Myoviridae	-
28211|Alphaproteobacteria	-	-	-	S	COG3904@1|root,COG3904@2|Bacteria,1QG8N@1224|Proteobacteria,2U0GJ@28211|Alphaproteobacteria,3JTCU@41294|Bradyrhizobiaceae	-
10662|Myoviridae	-	-	-	-	4QD54@10239|Viruses,4QU2T@28883|Caudovirales,4QJQR@10662|Myoviridae	-
29547|Epsilonproteobacteria	-	-	-	J	COG0480@1|root,COG0480@2|Bacteria,1MUCV@1224|Proteobacteria,42M4T@68525|delta/epsilon subdivisions,2YMB2@29547|Epsilonproteobacteria	-
909932|Negativicutes	-	-	-	S	COG5545@1|root,COG5545@2|Bacteria,1TQNX@1239|Firmicutes,4H3CH@909932|Negativicutes	-
10662|Myoviridae	-	-	-	-	4QGYJ@10239|Viruses,4R098@35237|dsDNA viruses  no RNA stage,4QTBW@28883|Caudovirales,4QI3A@10662|Myoviridae	-
